행정동,도구명,규격,수량,단위
성당동,콤프레샤,계양2.5HP,1,대
성당동,에어호스,코일7.5M,1,개
성당동,에어건,ST2000,1,개
성당동,공구세트,세신15P,4,개
성당동,전지톱,말표350mm,2,개
성당동,고지가위,화신S-330,3,개
성당동,조경가위,화신K-570,3,개
성당동,톱,타지마265+톱대,3,Set
성당동,갓다,"MCC18""",2,개
성당동,갓다,"MCC24""",2,개
성당동,전선릴,1.5*3C*30M차단기,1,개
성당동,전선릴,1.5*3C*50M차단기,1,개
성당동,다목적가위,화신,2,개
성당동,전지가위,ARS 120 DX-K,2,개
성당동,몽키,세신300mm,2,개
성당동,파이프렌치,"세신(A/L)14""",1,개
성당동,파이프렌치,"세신(A/L)18""",1,개
성당동,줄자,코메론7.5M,2,개
성당동,글루건,GR-60,2,개
성당동,타카건,화신WS-107,2,개
성당동,호스릴,Z-GH 30,1,개
성당동,빠루망치,중,2,개
성당동,뺀찌,세신200mm,2,개
성당동,니퍼,세신160mm,2,개
성당동,바이스플라이어,어윈160mm,2,개
성당동,스패너,세신10*21,2,Set
성당동,사다리,A형7칸,2,개
성당동,충전드릴,보쉬GSR 18V 2LI,3,대
두류1ㆍ2동,사 다 리,"5칸(중),3칸(소)",5,대
두류1ㆍ2동,충전드릴,,2,대
두류1ㆍ2동,조경가위,,2,대
두류1ㆍ2동,고지가위,,2,대
두류1ㆍ2동,전지톱,,2,대
두류1ㆍ2동,갓다,"MCC18″, MCC14″",2,대
두류1ㆍ2동,몽 키,300mm,2,대
두류1ㆍ2동,수평대,600 SB,2,대
두류1ㆍ2동,타카건,,3,대
두류1ㆍ2동,육각렌치,본더스9P,2,대
두류1ㆍ2동,핸드그라인더,,1,대
두류1ㆍ2동,복스,,1,대
두류1ㆍ2동,글루건,,1,대
두류1ㆍ2동,핸드카,에어바퀴,1,대
두류1ㆍ2동,빠루,,2,대
두류1ㆍ2동,전기드릴,,2,대
두류1ㆍ2동,공구세트,세신15P,3,대
두류1ㆍ2동,전선릴,1.5*3C*30M차단기,2,대
두류1ㆍ2동,스패너,,1,대
두류1ㆍ2동,파이프렌치,300m,2,대
두류1ㆍ2동,호스릴,20M,2,대
두류1ㆍ2동,바이스플라이어,250mm,1,대
두류1ㆍ2동,돌망치,,2,대
두류1ㆍ2동,줄자,"10m, 50m, 7.5m",3,대
두류1ㆍ2동,드라이버,전공,3,대
두류1ㆍ2동,펀치,,1,대
두류1ㆍ2동,실리콘건,,2,대
두류1ㆍ2동,전동전지가위,285*100*52,1,대
두류1ㆍ2동,스트리퍼,,1,대
두류3동,사다리,5칸,2,개
두류3동,충전드릴,,4,개
두류3동,공구세트,,2,개
두류3동,조경가위,,2,개
두류3동,전지톱,,2,개
두류3동,톱,,1,개
두류3동,전선릴,30M,1,대
두류3동,다목적가위,,1,개
두류3동,전지가위,,1,개
두류3동,몽키스패너,,3,개
두류3동,파이프렌치,"14""",1,개
두류3동,파이프렌치,"18""",1,개
두류3동,공구통,,2,개
두류3동,줄자,7.5m,2,개
두류3동,타카건,,2,개
두류3동,호스릴,30m,1,개
두류3동,고속절단기,,1,대
두류3동,빠루망치,,4,개
두류3동,펜치,,4,개
두류3동,니퍼,,3,개
두류3동,바이스플라이어,,2,개
두류3동,핸드그라인더,"4""",2,개
두류3동,글루건,,3,개
두류3동,케이블타카건,,1,개
두류3동,접이식 육각렌치,대,1,개
두류3동,쇠톱,,2,개
본동,볼트캇타,"14""(BC-0735)",1,개
본동,볼트캇타,"18""(BC-0745)",1,개
본동,전선릴,1.5*50호,1,개
본동,다목적가위,P-300(190MM),2,개
본동,몽키,"10""(250MM)",2,개
본동,파이프렌치,"알루미늄 18""(450MM)",2,개
본동,공구통,투명 J-601(570*300*300) 601,2,개
본동,줄자-그립퍼(스틸),KMC-900R(30M*10),1,개
본동,줄자-센티,KMC-33(7.5M*25),2,개
본동,핫멜트건,GR-550(60W),1,개
본동,막대본드,GS1085(700G)-대 1085,1,개
본동,건타카,(R-23 TYPE)AT-911,1,개
본동,코일호스,10*6.5*10M(카플링),1,개
본동,에어건(PVC),KD-200S,1,개
본동,공구세트,SM-12P(DIY),3,개
본동,고지가위,NO.1800(과실용1.8~3M),2,개
본동,고지톱,1.8~3.0M PS3.0H,2,개
본동,조경가위(양손),AL자루 K-570(620MM),2,개
본동,톱,"TH-200-460,(460MM)TH-2000",2,개
본동,사다리,LS45-5칸 빼올림,1,개
본동,사다리,스태피-3칸,1,개
본동,데크트럭,중(CP2041)465*750,1,개
본동,충전햄머드릴,"DDH-1442L-2C(14.4V,2.0A)",1,개
본동,충전햄머드릴,DM18BL(5.0AH/카본X),1,개
본동,충전햄머드릴,보쉬GSB18V-60C,1,개
본동,곡괭이,주걱+뿔(나무자루),3,개
본동,충전드릴,보쉬GSR18V-60C,1,개
본동,호미,막호미,10,개
본동,전기톱,계양LCS-350L,1,개
본동,매직호스,7.5m,1,개
감삼동,파이프렌치,450mm,1,개
감삼동,콤프레샤,없음,1,개
감삼동,코일호스,없음,1,개
감삼동,에어건,없음,1,개
감삼동,볼트캇타,"18""",1,개
감삼동,전선릴,50호,1,개
감삼동,방청유(WD),360ml,5,대
감삼동,공구세트,79Pcs,5,개
감삼동,전기드릴(무선),14.4V,3,대
감삼동,사다리,5칸(중),1,개
감삼동,사다리,3칸(소),1,개
감삼동,핸드카(수레),소,1,대
감삼동,데크트럭(수레),중,1,대
감삼동,고지가위,1.8~3m,2,개
감삼동,조경(전지)가위,620mm,2,개
감삼동,고지톱,1.8~3m,2,개
감삼동,목재용 톱,없음,2,개
감삼동,몽키,250mm,2,개
감삼동,로타리툴,드레멜 4300-5/50,1,개
감삼동,울트라팡(뚜러뻥),KUP-580,2,개
감삼동,전기타카,630형,2,개
감삼동,충전식글루건,HG-1001,2,개
도원동,충전햄머드릴,"DCD805(20V, 배터리식)",1,개
도원동,공기압식못박기,KT-422N,1,개
도원동,체인 톱기계,"EZ-4100(500W, 100mm)",1,개
도원동,건타타(R-23),AT-911(4.6.8.10),1,개
도원동,워킹카운타-쌍발,JN27-D(BC-WC 100D),1,개
도원동,호스릴(세차릴),SM-HR30 30M),1,개
도원동,빠루,3자,1,개
도원동,요술톱,HA-105*,1,개
도원동,볼트캇타,"14""(BC-0735)",1,개
도원동,사다리,LS45-5칸 빼올림,1,개
도원동,사다리,스태피-3칸,1,개
도원동,데크트럭-중(cp2014),465*750,1,개
도원동,충전햄머드릴,"DDH-1442L-2C(14.4V ,2.0A)",3,개
도원동,콤프레샤,2.5HP(KAC-25),1,개
도원동,코일호스(노란색),10*6.5*10M(카플링),1,개
도원동,에어건(PVC),KD-200S,1,개
도원동,공구세트,SM-12P,5,개
도원동,고지가위,NO.1800(과실용 1.8~3M),2,개
도원동,고지톱,1.8~3.0M PS3.0H,2,개
도원동,조경가위(양손)-AL자루,K-570(620MM),2,개
도원동,톱*TH-200-460,산림톱(460MM)TH-2000,2,개
도원동,볼트캇타,"18""(BC-0745)",1,개
도원동,"전선릴(접지, 차단지 내장)",2.5X 30호*,1,개
도원동,몽키,"10"" (250MM)",2,개
도원동,파이프렌치-알루미늄,"18""(450MM)",2,개
도원동,핫멜트건,GR-550(60W),1,개
도원동,충전햄머드릴,GSB18V-21(1.5A),2,개
도원동,매직렌치,플래티늄 9-24/24-45,3,개
도원동,공구세트,SM-TS79(79PCS),2,개
도원동,요술톱,"HA-101S(평톱날1, 실톱날2)",3,개
도원동,거리측정기,GLM40,2,개
도원동,그라인더,GWS750-100 4인치,2,개
도원동,데크트럭,대(550*850),1,개
상인1동,사다리,A형 5칸,2,EA
상인1동,충전드릴,보쉬GSR 18V 2LI,2,대
상인1동,전지톱,350mm,2,개
상인1동,조경가위,,2,개
상인1동,파이프렌치,"14""",2,개
상인1동,전선릴,1.5*3C*30M차단기,1,대
상인1동,전선릴,1.5*3C*50M차단기,1,대
상인1동,몽키,300mmq,2,개
상인1동,줄자,7.5M,2,개
상인1동,줄자,30M,1,개
상인1동,글루건,,2,개
상인1동,빠루망치,중,2,개
상인1동,니퍼,160mm,2,개
상인1동,바이스플라이어,250mm,1,개
상인1동,스패너,10*21,2,set
상인1동,갓다,"18""",2,개
상인1동,고지가위,,1,개
상인1동,실리콘건,,2,개
상인1동,복스,17p,2,set
상인1동,고무망치,대,2,개
상인1동,타카건,,2,개
상인1동,비트날,2*65mm*10ea,1,set
상인1동,육각렌지,9p,2,set
상인1동,뺀찌,200mm,2,개
상인1동,스텐기리,1.5~6.5(USA),1,set
상인1동,철기리,1.5~6.5(TIN-338),2,set
상인1동,콘크리트기리,,2,set
상인1동,전기드릴,보쉬GSB 13RE,2,대
상인1동,핸드그라인더,보쉬GWS6-100,2,대
상인1동,시계 드라이버,,2,set
상인1동,양용 드라이버,,2,개
상인1동,소형 드라이버,,2,개
상인1동,주먹 드라이버,,2,개
상인1동,꽃삽,,3,개
상인1동,낫,,1,개
상인1동,거리측정기,GLM400,1,개
상인1동,공구세트 47p,,2,set
상인1동,호수릴,,1,set
상인2동,전선릴,20M,1,개
상인2동,호스릴,"20M, 50M",2,개
상인2동,톱,"300MM, 350MM",4,개
상인2동,워킹카운터,,1,개
상인2동,조경가위,,2,개
상인2동,곡갱이,,2,개
상인2동,삽,,2,개
상인2동,오함마,,1,개
상인2동,고지가위,,1,개
상인2동,사다리,5단,2,개
상인2동,전기드릴(무선),,2,개
상인2동,수평맞추기,,2,개
상인2동,대패,,2,개
상인2동,타카,,2,개
상인2동,끌,,2,개
상인2동,파이프렌치,"12"" 14""",4,개
상인2동,와이어스트립바,,2,개
상인2동,타일컷터,,1,개
상인2동,스프링청소기,,1,개
상인2동,자동분무기,,1,개
상인2동,바이스크립,"10""",2,개
상인2동,몽키,"6"" 8"" 10"" 12""",8,개
상인2동,니퍼,"6""",2,개
상인2동,뺀치,"8""",2,개
상인2동,전지가위,,2,개
상인2동,줄자,,2,개
상인2동,다목적가위,,2,개
상인2동,핫멜트건,,2,개
상인2동,공구세트,,2,세트
상인2동,전기드릴(유선),,2,대
상인2동,실리콘건,,2,개
상인2동,망치,,2,개
상인2동,볼트캇타,"14"" 18""",4,개
상인2동,쇠톱,,2,개
상인2동,충전드릴,,2,개
상인2동,공구세트,,2,세트
상인2동,대차,대,1,개
상인2동,사다리,5단,1,개
상인2동,쇠톱,,2,개
상인2동,망치,,3,개
상인3동,사다리,4자,2,개
상인3동,공구세트,,5,세트
상인3동,충전드릴,14V2.0Ah,1,대
상인3동,충전드릴,보쉬GSR18V-60C,2,대
상인3동,핸드그라인더,ACT-100SN,1,대
상인3동,양손가위,,1,개
상인3동,전지가위,,1,개
상인3동,전지가위,ARS(VS-8),2,개
상인3동,고지가위,화신S-330,1,개
상인3동,다목적가위,,1,개
상인3동,다목적가위,P-300,2,개
상인3동,갓다,MCC18,1,개
상인3동,몽키,"6인치, 8인치, 10인치, 12인치",각 1,개
상인3동,바이스그립,10WR,1,개
상인3동,니퍼,6인치,1,개
상인3동,전정톱,350mm,1,개
상인3동,전지톱,300mm,2,개
상인3동,자석훅줄자,5.5*25,2,개
상인3동,망치,29-670g,2,개
상인3동,다목적알공구세트,,1,세트
상인3동,전선릴,1.5*3P*28m,2,개
상인3동,실리콘건 커터건,,1,30m
상인3동,파이프렌치,,1,개
상인3동,쌍발펌프,,1,개
상인3동,탱크팡 망치 알파공구,,2,개
송현1동,워킹카운타,JN27-D,1,개
송현1동,호스릴,SM-HR30 30M,1,개
송현1동,전지가위,NO. 878,2,개
송현1동,톱대,NO.1012,2,개
송현1동,사다리,5칸,1,개
송현1동,사다리,스태피-3칸,1,개
송현1동,데크트럭(CP2041),465*750,1,개
송현1동,충전햄머드릴,DDH-1442L-2C,3,개
송현1동,충전햄머드릴,DM18BL,1,개
송현1동,콤프레샤,2.5HP(KAC-25),1,개
송현1동,코일호스,10*6.5*10M,1,개
송현1동,에어건,KD-200S,1,개
송현1동,공구세트,SM-12P,3,개
송현1동,고지가위,과실용 1.8~3M,1,개
송현1동,고지톱,1.8~3M,1,개
송현1동,조경가위,K-570(620MM),2,개
송현1동,톱,산림톱(460MM) TH-2000,2,개
송현1동,볼트캇타,"14""(BC-0735)",1,개
송현1동,볼트캇타,"18""(BC-0745)",1,개
송현1동,전선릴,2.5X 30호,1,개
송현1동,전선릴,1.5X 50호,1,개
송현1동,다목적가위,P-300(190MM),5,개
송현1동,몽키,"10""(250MM)",2,개
송현1동,파이프렌치-알루미늄,"18""(450MM)",2,개
송현1동,공구통,"투명, J-601(570*300*300)",2,개
송현1동,줄자,"그립퍼(스틸), KMC-900R(30M*10)",1,개
송현1동,줄자,"센티, KMC-33(7.5M*25)",1,개
송현1동,핫멜트건,GR-550,1,개
송현1동,막대본드,GS-1085(700G),1,개
송현1동,건타카,"R-23 TYPE, AT-911",1,개
송현1동,전기드릴(13mm),DMV-13K,1,개
송현1동,콘크리트기리,3.5mm,5,개
송현1동,콘크리트기리,6.0mm,5,개
송현1동,스텐기리,3.0mm,2,개
송현1동,철기리,3.0mm,3,개
송현1동,타일기리,6.4mm,3,개
송현1동,충전식 그라인더,DG18BL-100s,1,개
송현1동,육각렌지,2mm/2.5mm/3mm/4mm/5mm/6mm/8mm/10mm,1,개
송현1동,톱,산림톱(460MM) DE-554,2,개
송현1동,톱줄,,2,개
송현1동,스트리퍼,KY731B,2,개
송현2동,빠루,900,2,개
송현2동,전기드릴,계양,2,대
송현2동,공구세트,세신15P,3,개
송현2동,전선릴,1.5*3C*30M 차단기,1,개
송현2동,스패너,세신10*21,2,개
송현2동,파이프렌치,세신(A/L)300m/m,2,개
송현2동,줄자,10M,1,개
송현2동,줄자,20M,1,개
송현2동,대패,65m/m,1,개
송현2동,평끌,25m/m,1,개
송현2동,평끌,32m/m,1,개
송현2동,실리콘건,철,2,개
송현2동,충전드릴,스텐리,2,대
송현2동,조경가위,화신K-570,3,개
송현2동,전지톱,말표350mm,3,개
송현2동,갓다,MCC18,2,개
송현2동,몽키,세신300mm,2,개
송현2동,수평대,600SB,2,개
송현2동,타카건,화신WS-107,2,개
송현2동,니퍼,세신160mm,2,개
송현2동,뺀찌,세신200mm,2,개
송현2동,빠루망치,중,2,개
송현2동,삽,막삽,2,개
송현2동,사다리(3칸),A형3칸,1,개
송현2동,사다리(2칸),광폭안전형2칸,1,개
송현2동,롱로우즈,,1,개
송현2동,"드라이브(소, 중, 대)",소중대,1,개
송현2동,전지가위,탱자,1,개
송현2동,충전임팩드릴,스텐리,1,대
송현2동,전지가위,탱자,1,개
죽전동,충전드릴(해머기능),18v,1,개
죽전동,전기드릴,13mm,2,개
죽전동,그라인더,GWS 750-100,2,개
죽전동,공구세트,가정용생활공구일체,3,개
죽전동,사다리,4단,2,개
죽전동,전지가위,전지가위,1,개
죽전동,대형톱,대형톱,1,개
죽전동,소형톱,소형톱,2,개
죽전동,중형톱,중협톱,1,개
죽전동,절단기,HA-450,1,개
죽전동,줄자,5.5M,2,개
죽전동,바이스플라이어,바이스플라이어,2,개
죽전동,수평자,450,2,개
죽전동,릴 전선,30M,2,개
죽전동,다목적망치,다목적망치,2,개
죽전동,다목적복스세트,다목적복스세트,2,개
죽전동,충전드릴,보쉬GSR18V-60C,1,개
죽전동,충전햄머드릴,보쉬GSB18V-60C,1,개
죽전동,빠루망치,중,2,개
죽전동,케이블타카건,세신SB-762B,2,개
죽전동,글루건,GR-60,2,개
죽전동,접이식 육각렌치,대,1,개
죽전동,접이식 육각렌치,중,1,개
죽전동,전지가위,ARS 120 DX-K,1,개
죽전동,고지가위,화신S-330,1,개
장기동,공구통,,2,개
장기동,손타카(심),,2(5),개
장기동,고지가위/톱,,1,개
장기동,디스크 그라인더,,1,개
장기동,디스크 그라인터 쇠날,,5,개
장기동,디스크 그라인더 목공날,,4,개
장기동,철삽,,2,개
장기동,각삽,,2,개
장기동,핸드카/노쥬브,,1,개
장기동,시계 드라이버,,2,세트
장기동,양용 드라이버,,3,개
장기동,소형 드라이버,,3,개
장기동,주먹 드라이버,,3,개
장기동,뺀치,,3,개
장기동,빗트날,65,4,개
장기동,빗트날,110,6,개
장기동,빗트날,150,5,개
장기동,사다리,4단,1,개
장기동,사다리,5단,1,개
장기동,전기드릴,,2,개
장기동,톱,300,4,개
장기동,톱,350,4,개
장기동,전지가위,탱자(가지),2,개
장기동,전지가위,풀,2,개
장기동,볼트캇타,14,1,개
장기동,볼트캇타,18,1,개
장기동,다목적 전지가위,,6,개
장기동,전선릴,1.5*3*50m 차단,1,개
장기동,전선릴,1.5*3*30m 차단,1,개
장기동,줄자,7.5m,2,개
장기동,줄자,30m,1,개
장기동,플라이어,8,3,개
장기동,충전임팩드릴,,1,개
장기동,충전드릴,,2,개
장기동,끌,,6,개
장기동,니퍼,,3,개
장기동,바이스플라이어,,3,개
장기동,작업선,10M,2,개
장기동,볼 렌치 세트,,1,세트
장기동,자전거 멀티툴,,1,세트
장기동,드릴비트(목재용),,1,세트
장기동,드릴비트(콘크리트용),,1,세트
