동명,품명,규격,수량,단위,비고,데이터기준일자
내당1동,카멜레온줄자,5.5M,3,개,,2025-08-11
내당1동,진동드릴(신형),GSB-13RE,5,개,,2025-08-11
내당1동,전지가위,,3,개,,2025-08-11
내당1동,전공양용드라이버,200W*6*200,3,개,,2025-08-11
내당1동,전공양용드라이버,200W*6*153,3,개,,2025-08-11
내당1동,전공양용드라이버,200W*6*100,3,개,,2025-08-11
원대동,사다리,,1,개,,2025-08-11
원대동,보안경,,3,개,,2025-08-11
원대동,글루건,,2,개,,2025-08-11
원대동,줄자,,1,개,,2025-08-11
원대동,전정가위,,2,개,,2025-08-11
원대동,쇠톱,,2,개,,2025-08-11
원대동,전정톱,,1,개,,2025-08-11
원대동,양손 가위,,2,개,,2025-08-11
원대동,드릴 비트,,1,세트,,2025-08-11
원대동,소켓 렌치,,1,세트,,2025-08-11
원대동,전동 그라인더,,1,개,,2025-08-11
원대동,전동 헤머 드릴,,1,개,,2025-08-11
원대동,전동 드릴,,1,개,,2025-08-11
원대동,양용 드라이버,200,2,개,,2025-08-11
원대동,양용 드라이버,150,2,개,,2025-08-11
원대동,양용 드라이버,100,2,개,,2025-08-11
원대동,간이 라돈 측정기,,2,개,,2025-08-11
원대동,가정용공구,,2,세트,,2025-08-11
원대동,실리콘건,,3,개,,2025-08-11
원대동,육각렌치,,2,세트,,2025-08-11
원대동,정밀 드라이버,,2,세트,,2025-08-11
원대동,라쳇렌치,,2,세트,,2025-08-11
원대동,드릴날,,2,세트,,2025-08-11
원대동,건타카,,2,개,,2025-08-11
원대동,자석 수평기,,1,개,,2025-08-11
원대동,대형 드라이버,,1,개,,2025-08-11
원대동,볼트커터 18인치,18인치,1,개,,2025-08-11
원대동,몽키 10인치,10인치,1,개,,2025-08-11
원대동,몽키 12인치,12인치,1,개,,2025-08-11
원대동,바이스그립,,2,개,,2025-08-11
원대동,파이프렌치,8인치,1,개,,2025-08-11
원대동,파이프렌치,12인치,1,개,,2025-08-11
원대동,파이프렌치,14인치,1,개,,2025-08-11
상중이동,타카핀,12MM,1,개,,2025-08-11
상중이동,타카핀,10MM,1,개,,2025-08-11
상중이동,라돈측정기,,1,개,,2025-08-11
상중이동,충전드릴,DCD7802M,2,개,,2025-08-11
상중이동,임펙드릴,DWV-13K,1,개,,2025-08-11
상중이동,볼트캇타,24인치,1,개,,2025-08-11
평리5동,실리콘 건,,2,개,심 미포함,2025-08-11
평리5동,헤라세트,,1,개,5pcs 세트,2025-08-11
평리5동,전동 그라인더 세트,,1,개,충전식. 패드 미포함,2025-08-11
평리5동,사다리,,1,개,3단,2025-08-11
평리5동,글루건,,2,개,글루건 심 미포함,2025-08-11
평리5동,쇠톱,,2,개,,2025-08-11
평리5동,전정 톱,,1,개,,2025-08-11
평리5동,양손 전지 가위,,2,개,,2025-08-11
평리5동,가정용 공구 세트,,3,개,,2025-08-11
평리5동,해머드릴세트,,2,개,충전식. 비트 미포함,2025-08-11
평리5동,임팩 드릴세트,,2,개,충전식. 비트 미포함,2025-08-11
평리5동,라쳇 렌치 세트,,2,개,,2025-08-11
평리5동,양용드라이버,길이 150. 200mm,2,개,길이별 각 2개,2025-08-11
평리5동,스패너세트,,2,개,,2025-08-11
평리5동,레이저 거리측정기,,1,개,,2025-08-11
평리5동,워터펌프 플라이어,,2,개,,2025-08-11
평리5동,콘크리트못 보조 플라이어,,1,개,,2025-08-11
평리5동,정밀드라이버세트,,2,개,,2025-08-11
평리5동,드릴비트 세트,,1,개,,2025-08-11
평리5동,소켓세트,,1,개,,2025-08-11
평리5동,파이프렌치,10.12.14인치,3,개,,2025-08-11
평리5동,볼트커터,,1,개,,2025-08-11
평리5동,플라이어,,2,개,,2025-08-11
평리5동,건타카,,2,개,타카 심 미포함,2025-08-11
평리5동,몽키스패너,10인치. 12인치,2,개,,2025-08-11
평리5동,바이스그립,,2,개,,2025-08-11
평리5동,펜치,,2,개,,2025-08-11
평리5동,전정 가위,,2,개,,2025-08-11
평리5동,자석 수평기,,1,개,,2025-08-11
평리5동,육각렌치세트,,2,개,,2025-08-11
내당1동,사다리,LS-45,2,개,,2025-08-11
내당1동,사다리우마,300*1600,2,개,,2025-08-11
내당1동,박스렌치세트,,3,개,,2025-08-11
내당1동,레이저거리측정기,GLM150C,3,대,,2025-08-11
내당1동,시계드라이버세트,C220-01,3,개,,2025-08-11
내당1동,스프링청소기,15M,3,개,,2025-08-11
내당1동,스크레퍼(돌림형) 300,KA-380,3,개,,2025-08-11
내당1동,볼트커터,18인치,3,개,,2025-08-11
내당1동,볼렌치9본조,SBL-1900,3,개,,2025-08-11
내당1동,바이스그립,10WR,3,개,,2025-08-11
내당1동,몽키 스패너,12인치,3,개,,2025-08-11
내당1동,몽키 스패너,10인치,3,개,,2025-08-11
내당1동,라쳇콤비세트,7PCS,3,개,,2025-08-11
내당1동,디스크그라인더,ACT-100SN,3,대,,2025-08-11
내당1동,드릴비트세트,19PCS,3,개,,2025-08-11
내당1동,글루건,GR60 겸용 400W,3,개,,2025-08-11
내당1동,건타카핀,,3,통,12월 23일,2025-08-11
내당1동,건타카,DT3,3,개,,2025-08-11
내당1동,가정용 공구세트,18CS,3,개,,2025-08-11
내당1동,파이프렌치,14인치,3,개,,2025-08-11
내당1동,파이프렌치,12인치,3,개,,2025-08-11
내당1동,타일육각(다용도),6.4MM,3,개,,2025-08-11
내당1동,타일육각(다용도),3.2MM,3,개,,2025-08-11
내당1동,코발트 드릴비트,3.0MM,3,개,,2025-08-11
상중이동,볼트캇타,14인치,1,개,,2025-08-11
상중이동,실리콘건,,3,개,,2025-08-11
상중이동,건타카,WS-107,2,개,,2025-08-11
상중이동,몽키,12인치,3,개,,2025-08-11
상중이동,롱로우즈,6인치,3,개,,2025-08-11
상중이동,디스크그라인다,4인치,2,개,,2025-08-11
상중이동,하이스톱날,12인치,10,개,,2025-08-11
상중이동,톱대,12인치,3,개,,2025-08-11
상중이동,양손가위,190,3,개,,2025-08-11
상중이동,파이프렌치,14인치,3,개,,2025-08-11
상중이동,뺀치,8인치,3,개,,2025-08-11
상중이동,기어렌치세트,7P,1,개,,2025-08-11
상중이동,빠루망치,대,3,개,,2025-08-11
상중이동,스프링청소기,10M,3,개,,2025-08-11
상중이동,라이트,SLL-P5030,3,개,,2025-08-11
상중이동,센티줄자,7.5M,3,개,,2025-08-11
상중이동,정밀드라이버세트,6P,3,세트,,2025-08-11
상중이동,가정용공구세트,16PCS,3,세트,,2025-08-11
상중이동,바이스그립,10인치,3,개,,2025-08-11
상중이동,톱,300,3,개,,2025-08-11
