"시공업체 일련번호","업체명","사업자등록번호","개업일자","대표자","업체연락처","사업종목","보유면허","주요시공분야","행정동코드","업체주소"
"1543","주손인테리어","204-09-71681","2009-10-19","김명선","02-957-6700","인테리어, 철거공사, 상하수도설비공사","-","목공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),전기(배관/배선)공사,조명공사","1135010300","서울특별시 노원구 동일로176길 11-19 1층"
"1542","홈스타","358-72-00532","2024-03-13","민윤정","02-956-9117","금속창호, 인테리어","-","방수공사,목공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),난방설비공사(보일러)","1132010800","서울특별시 도봉구 도봉로 791 1층"
"1541","예찬인테리어","209-09-47395","2007-05-07","황영배","02-959-3367","금속, 창호, 인테리어, 도장공사","-","방수공사,금속공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사)","1129013900","서울특별시 성북구 한천로78길 5 1층"
"1531","주식회사 푸른건설시스템","664-81-02005","2021-03-01","김동진","070-4411-5074","정화조, 하수처리 사공, 시스템비계, 조배, 실내장식 및 내장목공업","-","방수공사,목공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),전기(배관/배선)공사,조명공사","1123010600","서울특별시 동대문구 천호대로89길 16 302-1호"
"1521","해창뜰인테리어","206-69-02786","2014-02-10","최홍균","02-938-6171","인테리어","-","방수공사,목공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),전기(배관/배선)공사,조명공사","1135010500","서울특별시 노원구 덕릉로118길 11 2층"
"1511","태양공사","201-01-99541","2014-01-08","장달동","02-2245-0250","인테리어, 설비, 창호","-","방수공사,목공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),전기(배관/배선)공사,조명공사,기타(씽크대)","1123010600","서울특별시 동대문구 장한로 190 1층"
"1502","도깨비8204","726-09-00027","2015-03-02","김태현","","집수리전문","-","방수공사,목공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),전기(배관/배선)공사,조명공사,기타(필름시공)","1130510100","서울특별시 강북구 솔매로 6 상가 102호"
"1501","길원건설","124-48-86140","2011-03-20","이복길","","집수리, 기와, 냉난방, 방수, 도색, 철물구조공사, 창호공사","-","방수공사,목공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),전기(배관/배선)공사,조명공사","1130510400","서울특별시 강북구 삼양로 658 1층 106호"
"1491","바이킹컴퍼니 주식회사","893-81-03539","2025-02-06","이윤영","","인테리어","-","방수공사,목공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),전기(배관/배선)공사,조명공사","1141011100","서울특별시 서대문구 간호대로 48 지층"
"1481","한길특수건설(주)","210-81-19268","1983-11-05","안효석","02-998-1077","건설업","건축공사업","목공사,창호 및 유리공사,타일공사,도장공사","1126010600","서울특별시 중랑구 신내역로3길 40-36 신내 데시앙플렉스 지식산업센터 A동 713호"
"1471","참빛집수리","760-72-00657","2024-04-01","신경은","","도배, 실내장식 및 내장목공사업, 집수리","-","목공사,타일공사,수장공사(도배,마감공사),급배수위생설비공사,전기(배관/배선)공사,조명공사","1141011000","서울특별시 서대문구 신촌로 245 1층 101호"
"1461","주식회사 해피에이징","248-88-00425","2016-05-25","권경혁","02-6736-5678","(경미한공사)인테리어","전기기능사","전기(배관/배선)공사,조명공사","1147010100","서울특별시 양천구 신정로 267 703호"
"1451","(주)루틱스글로벌","110-81-71742","2005-08-26","신승록","02-2281-1385","유리 및 창호공사업","건축기사1급","창호 및 유리공사","1129010300","서울특별시 성북구 동소문로34길 24 A동상가 106호"
"1441","건축공사 산이","588-51-00481","2020-06-01","남아인","","시설유지보수, 구조물해체철거, 철구조물, 창호","-","방수공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,단열공사,난방설비공사(보일러)","1132010500","서울특별시 도봉구 노해로 137 B1 좌측"
"1431","주식회사 다인커뮤니케이션","135-88-01701","2020-04-28","박현아","02-356-5904","인테리어(1천5백만원미만)","-","방수공사,목공사,금속공사,창호 및 유리공사","1138010400","서울특별시 은평구 연서로27길 13-10 1층"
"1423","바름종합건설 주식회사","846-88-02585","2022-04-07","이이화","02-883-2122","건축공사업","건축공사업","방수공사,목공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),전기(배관/배선)공사,조명공사","1162010100","서울특별시 관악구 관악로 148 303호"
"1422","부강설비기공(주)","108-81-63818","2004-01-01","강선옥","02-592-2373","건축기계설비업, 주택신축, 가스시설, 시공업, 소방설비업","가스시설시공업, 기계설비공사업","방수공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러)","1159010700","서울특별시 동작구 사당로26길 61 1층"
"1412","탑(TOP)종합건축","120-37-01686","2025-03-20","이선학","02-977-0482","도배, 실내장식 및 내장목공","건축도장기능사","방수공사,목공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),전기(배관/배선)공사,조명공사","1126010400","서울특별시 중랑구 동일로143길 72 1층 101호"
"1411","플러스건축","197-01-03083","2023-09-01","최영민","","인테리어, 방수공사, 누수설비공사, 도장공사","-","방수공사,목공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),난방설비공사(보일러)","1126010500","서울특별시 중랑구 겸재로 263 지층"
"1404","지우디자인","661-12-01957","2021-10-01","이지우","070-8691-3114","종합건설인테리어, 리모델링, 실내아트페인트공사외","없음","방수공사,도장공사","1130510100","서울특별시 강북구 삼양로63길 3 우측"
"1403","다함기업","119-15-52577","2008-02-01","김경일","02-888-9200","창호건물, 창호공사, 철물공사, 실내장식","건축도장기능사","방수공사,목공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),난방설비공사(보일러),전기(배관/배선)공사","1162010200","서울특별시 관악구 난곡로24길 22 1층"
"1402","주식회사 동아종합건설","106-87-06341","2014-05-07","박하민","02-833-4720","실내건축공사","건축공사업","방수공사,목공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),전기(배관/배선)공사,조명공사,기타(철근콘크리트)","1156013200","서울특별시 영등포구 도신로52길 7 1층"
"1401","바른돌건설","795-86-01469","2019-07-19","김재중","02-357-2220","도장, 습식, 방수, 석공사업","습식방수공사업, 도징공사업","방수공사,타일공사,도장공사,기타(석공사, 습식공사)","1138010200","서울특별시 은평구 응암로 377 402호"
"1395","정종합인테리어","297-32-00755","2020-04-02","정윤성","","미장, 타일 및 방수 공사업, 유리 및 창호 공사업","-","방수공사,목공사,창호 및 유리공사,타일공사,단열공사,수장공사(도배,마감공사),난방설비공사(보일러),전기(배관/배선)공사,조명공사","1162010200","서울특별시 관악구 원신길 91-1 1층"
"1394","디엠디건축","856-56-00939","2025-04-10","모현숙","","인테리어","-","방수공사,목공사,금속공사,창호 및 유리공사,타일공사,난방설비공사(보일러)","1162010200","서울특별시 관악구 난곡로24길 55 1층 101호"
"1393","인테리어 모아","732-52-00519","2022-07-01","김은희","02-883-8907","인테리어","-","목공사,창호 및 유리공사,타일공사,도장공사,수장공사(도배,마감공사)","1162010100","서울특별시 관악구 관악로 287 상가 109호"
"1392","금호지붕","495-66-00223","2019-03-15","최영배","02-6013-2448","칼라강판, 실내외인테리어","-","지붕 및 홈통공사","1126010100","서울특별시 중랑구 면목로53길 51 1층"
"1391","동운디엔씨(주)","402-81-30655","2000-01-20","이영호","02-358-3655","금속구조물, 창호공사업, 토목건축, 도장공사업, 시설물유지관리","실내건축공사, 습식방수공사, 도장공사, 금속구조물창호온실공사, 지붕판금건축 등","방수공사,목공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),난방설비공사(보일러),조명공사,기타(토공, 포장)","1138010200","서울특별시 은평구 은평로 217 502호"
"1388","금강인테리어","108-01-07153","2006-05-19","강장식","","인테리어","-","목공사,지붕 및 홈통공사,창호 및 유리공사","1162010100","서울특별시 관악구 낙성대역길 35 1층"
"1387","청목CM건축","101-12-66308","2008-08-19","박용주","02-766-0488","리모델링, 인테리어공사","-","방수공사,목공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),전기(배관/배선)공사,조명공사","1111017400","서울특별시 종로구 창신길 31 1층"
"1386","삼전디앤씨","426-88-03186","2024-10-24","전주원","02-1555-1308","건설업","도배, 실내 장식 및 내장 목공사업","방수공사,목공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),전기(배관/배선)공사,조명공사","1168010400","서울특별시 강남구 학동로101길 21 5층 501호"
"1385","주민산업건설(주)","192-86-01068","2018-08-20","이일호","02-965-8088","인테리어공사업, 습식방수공사업, 도장공사업, 건축공사업 외","-","방수공사,목공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),전기(배관/배선)공사,조명공사","1123010900","서울특별시 동대문구 이문로12길 60 101호"
"1384","연 건축사사무소","101-03-30389","2001-01-11","변봉연","02-387-2255","인테리어(건당1500만원미만공사)","-","방수공사,목공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),전기(배관/배선)공사,조명공사","1138010200","서울특별시 은평구 진흥로 120 3층"
