"등록번호","제목","등록일시","바로가기"
"5005","「2026년 희망의 집수리 사업」보조사업자 모집 공고 (수정)","2026-02-11 11:24:57.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=5005"
"4990","「2026년 희망의 집수리 사업」보조사업자 모집공고 ","2026-02-05 10:07:58.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=4990"
"4984","서울특별시 주거환경개선과 개인정보 처리방침(2026. 1. 19.~) ","2026-02-04 16:26:19.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=4984"
"4610","2025년 상반기 집수리 아카데미 심화과정 3, 4회차 교육대상자 명단(예비자 포함) 및 안내","2025-10-14 15:13:32.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=4610"
"4535","2025년 상반기 집수리 아카데미 기초과정 10, 11회차 교육대상자 명단(예비자 포함) 및 안내","2025-09-01 16:17:03.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=4535"
"4493","「2025년 안심 집수리 융자사업」 참여자 추가모집 안내","2025-08-12 09:09:38.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=4493"
"4458","2025년 상반기 집수리 아카데미 기초과정 7, 8, 9회차 교육대상자 명단(예비자 포함) 및 안내","2025-08-05 09:17:59.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=4458"
"4439","서울특별시 주거환경개선과 개인정보 처리방침(2025. 7. 17.~)","2025-07-22 10:11:39.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=4439"
"4376","『2025년 안심 집수리 융자 지원사업』참여자 모집 변경공고","2025-06-25 10:15:33.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=4376"
"4363","2025년 상반기 집수리 아카데미 기초과정 4, 5, 6회차 교육대상자 명단(예비자 포함) 및 안내 ","2025-06-25 09:22:27.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=4363"
"4320","주택성능개선지원구역 신규지정 공고(서울특별시 공고 제2025-1494호)","2025-05-14 11:22:21.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=4320"
"4316","2025년 집수리 아카데미 교육비 환불규정 개정 알림","2025-05-08 13:27:49.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=4316"
"4285","2025년 안심 집수리 지원사업 시공업체 업무 협조 요청","2025-04-17 14:29:17.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=4285"
