공구대여소명,위도,경도,대여료,연락처,도로명 주소,대여기간,비치공구,운영시간,작성기준일
구립장애인종합복지관 공구대여소,37.57180674,127.0340491,무료,070-4522-4713,동대문구 청계천로 521,3일,전동드릴+가정용공구세트+전기릴선+레이저자+실리콘건+전동드릴(소)+그라인더+손타가+고무망치+공기주입기+콘크리트드릴+전기타카,평일 10:00 ~ 18:00,2024-08-13
나들목가족도서관,37.57881244,127.0243357,무료,02-921-4085,동대문구 안암로 6,1일,전동드릴+가정용공구세트,화~토 10:30 ~18:00 + 일 13:00 ~ 18:00,2024-08-13
답십리1동주민센터 공구대여소,37.57177876,127.0512765,무료,02-2171-6223,동대문구 사가정로 30,3일,전동드릴+해머드릴+드라이버+전동드라이버+스패너세트+공구세트+드라이버+미니전동드라이버드릴+톱(대형)+숫돌+파이프렌치+고지접낫+조선낫+호미+드릴비트(기리)세트+플렉시블비트+육각렌치세트+바이스플라이어+건타카(심)+글루건(심)+콤비네이션렌치세트+소켓렌치세트+양날톱+실톱+줄자(5cm)+고지가위+드릴드라이버세트+방역분무기+콘크리트기리+접이식 사다리/계단형+알루미늄사다리A형+워터펌프 플라이어 첼라(8+10+12)+만능톱,평일 09:00 ~ 18:00,2024-08-13
답십리2동주민센터 공구대여소,37.56739053,127.0612817,무료,02-2171-6265,동대문구 한천로11길 18,3일,전동드릴+해머드릴+전동드라이버+드라이버비트세트+토션비트+전선릴+몽키+파이프렌치+육각접렌치+스패너세트+공구세트+망치공구세트+니퍼+펜치+실리콘건+바이스플라이어+화이바망치+접톱+줄자+손타카+스크래퍼+미니전동드라이버드릴+줄자+자동줄자+다목적가위+복스세트+미니충전드릴+방역분무기,평일 09:00 ~ 18:00,2024-08-13
동대문노인복지관 공구대여소,37.58723426,127.049826,무료,02-963-0565,동대문구 제기로33길 25,3일,전동드릴+가정용공구세트+미니전동드라이버드릴+임팩드릴(무선)+임팩드릴용비트세트,평일 09:00 ~ 18:00,2024-08-13
동대문종합사회복지관 공구대여소,37.58401465,127.0341945,무료,02-920-4500,동대문구 약령시로5길 22,3일,전동드릴+가정용공구세트+미니전동드라이버드릴,평일 09:00 ~ 18:00,2024-08-13
래미안크레시티2단지 경로당 공구대여소,37.57551537,127.0497134,무료,02-3394-8095,동대문구 사가정로 65,3일,전동드릴+가정용공구세트,평일 09:00 ~ 18:00,2024-08-13
마을활력소 회기한지붕,37.59120022,127.0521189,무료,02-2135-8151,동대문구 회기로18길 3,1일,전동드릴+가정용공구세트+5단 사다리,평일 11:00 ~ 17:00,2024-08-13
마을활력소 휘경아뜰리에,37.58931947,127.0594894,무료,02-3394-5070,동대문구 망우로 지하 55,1일,전동드릴+가정용공구세트,평일 10:00 ~ 17:00,2024-08-13
용두문화복지센터 공구대여소,37.5753081,127.0391806,무료,02-6929-2652,동대문구 고산자로28길 13,3일,전동드릴+가정용공구세트,평일 10:00 ~ 18:00,2024-08-13
용신동주민센터 공구대여소,37.57579389,127.0372732,무료,02-2171-6009,동대문구 천호대로27길 35,3일,전동드릴+드라이버드릴+그라인더+전선릴+몽키+파이프렌치+복스렌치세트+스패너세트+공구세트+줄자+실리콘건+미니전동드라이버드릴+고무망치+다목적가위+줄자+글루건+타카건+니퍼+펜치+방역분무기+드라이버비트세트+육각렌치세트+조경가위+미니전동드릴+3단 사다리,평일 09:00 ~ 18:00,2024-08-13
이문1동주민센터공구대여소,37.59780861,127.0654714,무료,02-2171-6471,동대문구 외대역동로 114-1,3일,전동드릴+충전해머드릴+스패너세트+드라이버세트+전동타카+실리콘건+못+공구걸이+미니전동드라이버드릴+공구세트+그라인더+샌더+니퍼+펜치+망치+스크래퍼+릴선+방역분무기+전동드릴+드릴비트세트+공구세트,평일 09:00 ~ 18:00,2024-08-13
이문2동주민센터 공구대여소,37.60338316,127.0651208,무료,02-2171-6503,동대문구 신이문로 27-5,3일,전동드릴+해머드릴+충전용전동드라이버+전선릴+공구세트+망치+톱+접톱 각삽+고무피복줄자+미니전동드라이버드릴+방역분무기+전기충전타카+절삭용니퍼(K-7345)+절삭용니퍼(K-9080)+토마토전지가위,평일 09:00 ~ 18:00,2024-08-13
이문체육문화센터,37.60224069,127.0687051,무료,02-6929-0687,동대문구 한천로58길 81-49,1일,전동드릴+가정용공구세트,평일 06:00 ~ 22:00 + 토 06:00 ~ 18:00,2024-08-13
장안1동주민센터 공구대여소,37.56781428,127.0664111,무료,02-2171-6286,동대문구 한천로18길 52,3일,전동드릴+몽키+파이프렌치+니퍼+펜치+플라이어+드라이버+망치+줄자+송곳+미니전동드라이버드릴+전동드릴+몽키스패너+공구세트+방역분무기+공구세트+줄자,평일 09:00 ~ 18:00,2024-08-13
장안2동주민센터 공구대여소,37.57846735,127.070588,무료,02-2171-6345,동대문구 사가정로 230-1,3일,전동드릴+해머드릴+전동드라이버+전선릴+공구세트+손타카(분실)+미니전동드라이버드릴+손타카(핀)+톱+전선릴(30m)+방역분무기,평일 09:00 ~ 18:00,2024-08-13
장안종합사회복지관 공구대여소,37.56794723,127.0661714,무료,02-2242-7564,동대문구 한천로18길 48,3일,전동드릴+가정용공구세트+미니전동드라이버드릴,평일 09:00 ~18:00,2024-08-13
전농1동주민센터 공구대여소,37.57796294,127.0477269,무료,02-2171-6578,동대문구 서울시립대로9길 21,3일,전동드릴+해머드릴+임팩드라이버+전선릴+공구세트+손타카+미니전동드라이버드릴+손타카(핀)+보쉬열풍기+기리세트+방역분무기+콘크리트기리+3단 사다리+4단 사다리+5단 사다리,평일 09:00 ~ 18:00,2024-08-13
전농2동주민센터 공구대여소,37.57803568,127.0600244,무료,02-2171-6143,동대문구 사가정로 137,3일,전동드릴+임팩드라이버드릴+그라인더+전선릴+파이프렌치+육각접렌치+스패너세트+공구세트+니퍼+펜치+화이바망치+접톱+줄자+다목적가위+손타카+실리콘건+복스세트+미니전동드라이버드릴+스크래퍼+몽키스패너+임팩용기리세트+핸드카트+조경용가위+접톱+방역분무기+다목적드릴비트세트+가정용공구세트+전기리드선+3단 사다리+4단 사다리,평일 09:00 ~ 18:00,2024-08-13
제기동주민센터 공구대여소,37.58312535,127.0378252,무료,02-2171-6063,동대문구 약령시로 71,3일,전동드릴+해머드릴+전동드라이버+전선릴+망치공구세트+공구세트+접톱+막삽+각삽+줄자+사다리+톱자루+톱날+컷쏘+몽키스패너+일자드라이버+기리세트+휴대용 무선드릴+방역분무기+가정용공구세트+다목적드릴비트세트,평일 09:00 ~ 18:00,2024-08-13
청량리동주민센터 공구대여소,37.58627089,127.047287,무료,02-2171-6363,동대문구 왕산로43다길5,3일,전동드릴+랜턴+몽키+스패너+공구세트+니퍼+펜치+드라이버세트+임팩드라이버+망치+쇠톱+손타카+수동펌프+못+나사+사다리+핸드카트+노트북+아이스박스+탁자+의자+미니전동드라이버드릴+글루건(심)+여행용가방+제설 및 청소용품+랜턴+방역분무기+전기드릴+ A형 사다리+실리콘건,평일 09:00 ~ 18:00,2024-08-13
한방진흥센터 공구대여소,37.58060743,127.0375731,무료,070-4227-5091,동대문구 약령중앙로 26,3일,"전동드릴+가정용공구세트,소켓렌치세트+파이프렌치+몽키스패너+락킹플라이어+보쉬전동드릴",화~토 10:00 ~ 18:00,2024-08-13
홍릉문화복지센터 공구대여소,37.58750957,127.0427123,무료,02-2171-6363,동대문구 홍릉로 81,3일,전동드릴+가정용공구세트,평일 09:00 ~ 18:00,2024-08-13
회기동주민센터 공구대여소,37.59078038,127.0553725,무료,02-2171-6403,동대문구 회기로25길12-1,3일,전동드릴+(가정용)공구세트+임팩드라이버+손타카+핸드카+미니전동드라이버드릴+핸드카트+방역분무기,평일 09:00 ~ 18:00,2024-08-13
휘경1동주민센터 공구대여소,37.59288786,127.0657337,무료,02-2171-6429,동대문구 외대역동로6길 3,3일,"전동드릴+해머드릴+그라인더+전동드라이버+전선릴+몽키+파이프렌치+스패너세트+공구세트+니퍼+펜치+화이바망치+접톱+줄자+손타카+실리콘건+스크래퍼+복스세트+미니전동드라이버드릴+전기릴선(25m)+핸드카트+바이스플라이어+방역분무기+글루건(심)+전동드릴비트세트+전기드릴비트세트+양손가위+볼트커터(24)""",평일 09:00 ~18:00,2024-08-13
휘경2동주민센터 공구대여소,37.59012852,127.0685899,무료,02-2171-6452,동대문구 한천로 329,3일,"전동드릴+충전해머드릴+샌더+전동드라이버 ,타카+글루 +전선릴 +공구세트+핸드드릴+육각렌치세트+타카핀+스크류드라이버세트+육각드릴세트+드릴비트 ,빠루망치+십자드라이버+실톱세트+홀쏘(철,타일,목공)+핸드카트+방역분무기",평일 09:00 ~ 18:00,2024-08-13
