공구대여소,소재지도로명주소,소재지지번주소,전화번호,비치공구류,운영시간,대여료,대여기간,위도,경도,행정동,데이터기준일자
성북동주민센터,서울특별시 성북구 성북로 37,,02-2241-5029,가정용 공구세트+드릴 등,월~금 09:00~18:00 (휴관일 제외),1000원 ~ 2000원,2박3일,37.59105175,127.0032478,성북동,2025-03-12
삼선동주민센터,서울특별시 성북구 보문로 190,,02-2241-5045,가정용 공구세트+드릴 등,월~금 09:00~18:00 (휴관일 제외),1000원 ~ 2000원,2박3일,37.58945628,127.0168496,삼선동,2025-03-12
동선동주민센터,서울특별시 성북구 동소문로26길 27 ,,02-2241-5098,가정용 공구세트+드릴 등,월~금 09:00~18:00 (휴관일 제외),1000원 ~ 2000원,2박3일,37.594145,127.020437,돈암1동,2025-03-12
돈암1동주민센터,서울특별시 성북구 정릉로48길 35 서라벌아파트 3층,,02-2241-5123,가정용 공구세트+드릴 등,월~금 09:00~18:00 (휴관일 제외),1000원 ~ 2000원,2박3일,37.602647,127.027695,돈암2동,2025-03-12
돈암2동주민센터,서울특별시 성북구 흥천사길 7,,02-2241-5164,가정용 공구세트+드릴 등,월~금 09:00~18:00 (휴관일 제외),1000원 ~ 2000원,2박3일,37.60005917,127.0139264,돈암2동,2025-03-12
안암동주민센터,서울특별시 성북구 고려대로 16 ,,02-2241-5206,가정용 공구세트+드릴 등,월~금 09:00~18:00 (휴관일 제외),1000원 ~ 2000원,2박3일,37.586026,127.021354,안암동,2025-03-12
보문동주민센터,서울특별시 성북구 안암로3길 35 ,,02-2241-5246,가정용 공구세트+드릴 등,월~금 09:00~18:00 (휴관일 제외),1000원 ~ 2000원,2박3일,37.58052,127.0228,보문동,2025-03-12
정릉1동주민센터,서울특별시 성북구 정릉로38마길 33,,02-2241-5286,가정용 공구세트+드릴 등,월~금 09:00~18:00 (휴관일 제외),1000원 ~ 2000원,2박3일,37.601588,127.01655,정릉1동,2025-03-12
정릉2동주민센터,서울특별시 성북구 정릉로26길 1 ,,02-2241-5322,가정용 공구세트+드릴 등,월~금 09:00~18:00 (휴관일 제외),1000원 ~ 2000원,2박3일,37.604602,127.011128,정릉2동,2025-03-12
정릉3동주민센터,서울특별시 성북구 솔샘로1길 6-3,,02-2241-5364,가정용 공구세트+드릴 등,월~금 09:00~18:00 (휴관일 제외),1000원 ~ 2000원,2박3일,37.60895467,127.0041769,정릉3동,2025-03-12
정릉4동주민센터,서울특별시 성북구 보국문로 106-1 ,,02-2241-5407,가정용 공구세트+드릴 등,월~금 09:00~18:00 (휴관일 제외),1000원 ~ 2000원,2박3일,37.61565203,127.0085058,정릉4동,2025-03-12
길음1동주민센터,서울특별시 성북구 길음로 92 ,,02-2241-5446,가정용 공구세트+드릴 등,월~금 09:00~18:00 (휴관일 제외),1000원 ~ 2000원,2박3일,37.610624,127.019463,길음1동,2025-03-12
길음2동주민센터,서울특별시 성북구 삼양로2길 70 ,,02-2241-5485,가정용 공구세트+드릴 등,월~금 09:00~18:00 (휴관일 제외),1000원 ~ 2000원,2박3일,37.60694,127.027247,길음2동,2025-03-12
종암동주민센터,서울특별시 성북구 종암로 98-8 ,,02-2241-5523,가정용 공구세트+드릴 등,월~금 09:00~18:00 (휴관일 제외),1000원 ~ 2000원,2박3일,37.599192,127.03517,종암동,2025-03-12
월곡1동주민센터,서울특별시 성북구 오패산로 96,,02-2241-5592,가정용 공구세트+드릴 등,월~금 09:00~18:00 (휴관일 제외),1000원 ~ 2000원,2박3일,37.61053624,127.035762,월곡1동,2025-03-12
월곡2동주민센터,서울특별시 성북구 화랑로 152 ,,02-2241-5602,가정용 공구세트+드릴 등,월~금 09:00~18:00 (휴관일 제외),1000원 ~ 2000원,2박3일,37.60497289,127.0505855,월곡2동,2025-03-12
장위1동주민센터,서울특별시 성북구 장위로 61,,02-2241-5645,가정용 공구세트+드릴 등,월~금 09:00~18:00 (휴관일 제외),1000원 ~ 2000원,2박3일,37.61406942,127.0436684,장위1동,2025-03-12
장위2동주민센터,서울특별시 성북구 돌곶이로27길 12,,02-2241-5709,가정용 공구세트+드릴 등,월~금 09:00~18:00 (휴관일 제외),1000원 ~ 2000원,2박3일,37.61239016,127.0544978,장위2동,2025-03-12
장위3동주민센터,서울특별시 성북구 한천로 657,,02-2241-5728,가정용 공구세트+드릴 등,월~금 09:00~18:00 (휴관일 제외),1000원 ~ 2000원,2박3일,37.616724,127.056567,장위3동,2025-03-12
석관동주민센터,서울특별시 성북구 화랑로 296,,02-2241-5775,가정용 공구세트+드릴 등,월~금 09:00~18:00 (휴관일 제외),1000원 ~ 2000원,2박3일,37.61297096,127.0614241,석관동,2025-03-12
청소년 문화의 집,,서울특별시 성북구 정릉4동 244-6,02-919-9566,가정용 공구세트+드릴 등,"화~토 09:00~21:00, 일 09:00~18:00 (휴관일 제외)",1000원 ~ 2000원,2박3일,37.615943,127.008568,정릉4동,2025-03-12
