연번,명칭,도로명,지번,건물명,구분,설치위치,공구보유현황,대여가능시간,대여한도,대여금액,대여기간,전화번호
1,목1동주민센터,서울특별시 양천구 목동서로 192 (목동),목동 919-3,목1동주민센터,공구대여 - 주민센터,1층 복도,전동무선드릴/직소기/전동해머드릴/샌더기/디스크그라인더/첼라/몽키스패너(대)/L형렌치세트/볼트커터/전기릴선/니퍼/빠루/가정용사다리/수평계/접이식카트,평일 09:00~18:00,1인 3종,무료,3일,02-2620-3948
2,목2동주민센터,서울특별시 양천구 목동중앙본로 120 (목동),목동 530-6,목2동주민센터,공구대여 - 주민센터,3층 자치회관,전동무선드릴/직소기/전동해머드릴/샌더기/디스크그라인더/첼라/몽키스패너(대)/L형렌치세트/볼트커터/전기릴선/니퍼/빠루/가정용사다리/수평계/접이식카트,평일 09:00~18:00,1인 3종,무료,3일,02-2620-3964
3,목3동주민센터,서울특별시 양천구 목동중앙남로16나길 55 (목동),목동 642-1,목3동주민센터,공구대여 - 주민센터,1층 민원실,전동무선드릴/직소기/전동해머드릴/샌더기/디스크그라인더/첼라/몽키스패너(대)/L형렌치세트/볼트커터/전기릴선/니퍼/빠루/가정용사다리/수평계/접이식카트,평일 09:00~18:00,1인 3종,무료,3일,02-2084-5293
4,목4동주민센터,서울특별시 양천구 목동중앙로 25 (목동),목동 904-19,목4동주민센터,공구대여 - 주민센터,2층 자치회관,스프링청소기/몽키스패너(중)/유선드릴/무선드릴/샌더기/콤프레셔/직소기/에어타카/접이식카트,평일 09:00~18:00,1인 3종,무료,3일,02-2620-4004
5,목5동주민센터,서울특별시 양천구 목동서로 41 (목동),목동 908-32,목5동주민센터,공구대여 - 주민센터,2층 민원실,전동무선드릴/직소기/전동해머드릴/샌더기/디스크그라인더/첼라/몽키스패너(대)/L형렌치세트/볼트커터/전기릴선/니퍼/빠루/가정용사다리/수평계/접이식카트,평일 09:00~18:00,1인 3종,무료,3일,02-2620-4032
6,신월1동주민센터,서울특별시 양천구 곰달래로1길 38 (신월동),신월동 135-18,신월1동주민센터,공구대여 - 주민센터,1층 정문,전동무선드릴/직소기/전동해머드릴/샌더기/디스크그라인더/첼라/몽키스패너(대)/L형렌치세트/볼트커터/전기릴선/니퍼/빠루/가정용사다리/수평계/접이식카트,평일 09:00~18:00,1인 3종,무료,3일,02-2620-4048
7,신월2동주민센터,서울특별시 양천구 중앙로53길 47 (신월동),신월동 483-11,신월2동주민센터,공구대여 - 주민센터,2층 복도,전동무선드릴/직소기/전동해머드릴/샌더기/디스크그라인더/첼라/몽키스패너(대)/L형렌치세트/볼트커터/전기릴선/니퍼/빠루/가정용사다리/수평계/접이식카트,평일 09:00~18:00,1인 3종,무료,3일,02-2620-4073
8,신월3동주민센터,서울특별시 양천구 남부순환로54길 5 (신월동),신월동 167-5,신월3동주민센터,공구대여 - 주민센터,1층 복도,전동무선드릴/직소기/전동해머드릴/샌더기/디스크그라인더/첼라/몽키스패너(대)/L형렌치세트/볼트커터/전기릴선/니퍼/빠루/가정용사다리/수평계/접이식카트,평일 09:00~18:00,1인 3종,무료,3일,02-2620-4105
9,신월4동주민센터,서울특별시 양천구 오목로5길 34 (신월동),신월동 425-2,신월4동주민센터,공구대여 - 주민센터,지하1층 복도,전동무선드릴/직소기/전동해머드릴/샌더기/디스크그라인더/첼라/몽키스패너(대)/L형렌치세트/볼트커터/전기릴선/니퍼/빠루/가정용사다리/수평계/접이식카트,평일 09:00~18:00,1인 3종,무료,3일,02-2620-4126
10,신월5동주민센터,서울특별시 양천구 화곡로4길 10 (신월동),신월동 52-2,신월5동주민센터,공구대여 - 주민센터,1층 로비,몽키스패너(대/중)/유선드릴/무선드릴/샌더기/콤프레셔/직소기/에어타카/접이식카트,평일 09:00~18:00,1인 3종,무료,3일,02-2620-4141
