연번,기관명,구분,도로명주소,전화번호,위도,경도
1,미추홀구 물품공유센터,물품공유센터,"인천광역시 미추홀구 매소홀로 290번길 7, 2층 (인천업사이클에코센터)",032-212-2929,37.44316036,126.6553209
2,숭의1.3동행정복지센터,마을공구대여소,인천광역시 미추홀구 석정로92번길 21-17,032-728-6101,37.46723424,126.647233
3,숭의2동행정복지센터,마을공구대여소,인천광역시 미추홀구 경인로34번길 20,032-728-6121,37.46302898,126.647298
4,숭의4동행정복지센터,마을공구대여소,인천광역시 미추홀구 경인로156번길 32,032-728-6141,37.46483916,126.6591374
5,용현2동행정복지센터,마을공구대여소,인천광역시 미추홀구 용마루로 56,032-728-6181,37.45910426,126.6425241
6,주안4동행정복지센터,마을공구대여소,인천광역시 미추홀구 구월남로 5,032-728-6381,37.45512738,126.6903025
7,주안6동행정복지센터,마을공구대여소,인천광역시 미추홀구 경원대로864번길 59,032-728-6421,37.46119076,126.6923889
8,주안7동행정복지센터,마을공구대여소,인천광역시 미추홀구 인하로 265,032-728-6441,37.44844518,126.6776513
9,주안8동행정복지센터,마을공구대여소,인천광역시 미추홀구 인주대로470번길 24,032-728-6461,37.456451,126.644193
10,관교동행정복지센터,마을공구대여소,인천광역시 미추홀구 인하로 452,032-728-6481,37.44417922,126.6968093
11,문학동행정복지센터,마을공구대여소,인천광역시 미추홀구 소성로 339,032-728-6501,37.437673,126.685019
12,수봉영산마을,마을주택관리소,"인천광역시 미추홀구 수봉로 83, 2층 (수봉영산마을커뮤니티센터)","070-4575-4595, 032-880-4843",37.45944682,126.6598272
13,아리마을,마을주택관리소,인천광역시 미추홀구 경인북길279번길 18,"032-228-0302, 032-880-4843",37.45612844,126.661944
14,쑥골마을,마을주택관리소,인천광역시 미추홀구 염전로144번길 34,"032-766-6800, 032-880-4843",37.47747388,126.6566475
15,염전골마을,마을주택관리소,"인천광역시 미추홀구 길파로41번길 3, 2층 (염전골마을센터)","032-868-9381, 032-880-4843",37.46937451,126.6794665
